building_type,climate_zone,budget_level,area_sqft,floors,ceiling_height,occupancy,operating_hours,building_age,outdoor_temp,humidity,insulation,glass_ratio,recommended_hvac
Retail,,Low,26364.43,1.0,12.29,2710.0,15.0,33.0,36.35,49.54,Poor,High,VRF
Residential,Cold,Medium,2885.8,,8.33,63.0,8.0,13.0,15.51,14.58,Average,Low,Multi-Split
Residential,Warm,Low,772.77,1.0,8.68,25.0,7.0,28.0,28.09,42.28,Average,Medium,Packaged Unit
Residential,Warm,Medium,2388.37,1.0,10.22,49.0,8.0,32.0,34.57,44.28,Average,Medium,Split AC
Retail,Hot,Medium,36667.82,2.0,16.3,3120.0,14.0,17.0,43.17,39.42,Good,Medium,Packaged Unit
Industrial,Warm,Medium,88791.41,3.0,28.01,3544.0,23.0,18.0,28.91,52.34,Average,Low,Packaged Unit
Office,Hot,High,28292.94,1.0,11.07,1513.0,11.0,24.0,39.17,35.93,Average,Medium,VRF
Residential,Warm,Medium,2231.95,1.0,10.09,13.0,7.0,4.0,31.15,40.24,Average,Low,Packaged Unit
Industrial,Hot,Low,90266.88,4.0,20.83,3149.0,19.0,40.0,27.28,36.65,Poor,Medium,VRF
Residential,Cold,Medium,2184.1,1.0,8.06,48.0,8.0,19.0,14.7,34.75,Good,Low,Split AC
Residential,Warm,Low,1236.67,1.0,9.75,14.0,10.0,11.0,20.26,54.76,Poor,Low,Split AC
Residential,Warm,High,1528.63,1.0,8.44,8.0,11.0,26.0,29.22,51.33,Excellent,Low,Multi-Split
Retail,Humid,Low,32662.53,1.0,16.83,1648.0,12.0,16.0,36.42,80.12,Poor,Medium,VRF
Residential,Cold,High,1527.71,1.0,8.33,36.0,,23.0,15.92,48.89,Excellent,Low,Split AC
Retail,Cold,Low,,1.0,15.14,3193.0,14.0,23.0,23.39,30.43,Poor,High,Central Chiller
Retail,Cold,Medium,36406.78,1.0,16.93,2120.0,14.0,23.0,16.13,32.68,Good,High,Packaged Unit
Residential,Humid,Low,2557.16,1.0,8.07,77.0,7.0,37.0,33.54,98.2,Poor,Medium,Multi-Split
Office,Humid,Medium,6109.21,1.0,10.75,192.0,10.0,28.0,27.25,87.79,Good,Medium,Multi-Split
Industrial,Warm,Medium,2867.24,1.0,19.65,106.0,12.0,31.0,24.51,45.93,Poor,Medium,Multi-Split
Office,Humid,Low,22069.95,1.0,13.42,1575.0,9.0,30.0,32.92,103.0,Poor,High,VRF
Hospital,Hot,Medium,,8.0,14.96,11781.0,20.0,30.0,38.31,32.81,Average,Low,Central Chiller
Office,Humid,High,,1.0,12.1,986.0,10.0,37.0,33.53,91.05,Excellent,High,VRF
Residential,Hot,Low,1979.72,1.0,10.44,38.0,12.0,31.0,35.48,30.36,Poor,Low,Split AC
Residential,Cold,Medium,1228.03,1.0,10.09,13.0,11.0,18.0,25.62,29.58,Poor,Low,VRF
Office,Warm,Medium,32476.67,2.0,10.98,1549.0,11.0,14.0,31.17,39.54,,High,VRF
Office,Humid,Low,19079.81,1.0,10.36,2332.0,10.0,32.0,37.33,84.72,Average,Medium,Packaged Unit
Residential,Humid,Medium,1908.5,1.0,10.24,26.0,9.0,18.0,33.61,80.61,Average,Medium,Split AC
Hospital,Hot,Medium,,5.0,11.31,9691.0,21.0,39.0,36.62,36.83,Average,Low,Central Chiller
Office,Humid,Low,45155.18,1.0,13.6,5639.0,11.0,33.0,27.85,82.28,Average,Medium,Multi-Split
Office,Humid,Low,5990.1,1.0,10.61,273.0,11.0,20.0,35.87,90.63,Average,Medium,Multi-Split
Residential,Hot,Medium,1516.08,1.0,9.88,32.0,13.0,20.0,33.62,58.8,Average,Low,Split AC
Office,Cold,Low,500.0,1.0,10.95,33.0,11.0,54.0,18.19,16.67,Poor,High,Split AC
,Warm,Medium,3008.95,2.0,9.23,35.0,12.0,7.0,33.53,43.55,Average,Low,Multi-Split
Hospital,Cold,Medium,91259.44,3.0,10.19,5453.0,21.0,24.0,11.19,24.93,Good,Low,Central Chiller
Office,Cold,High,9323.95,1.0,10.97,718.0,9.0,42.0,,33.55,Poor,High,Multi-Split
Office,Warm,Medium,6145.31,1.0,13.1,234.0,9.0,11.0,30.73,44.28,Poor,High,VRF
Retail,Cold,Low,48994.58,1.0,13.32,3555.0,10.0,30.0,11.08,28.44,Average,High,Packaged Unit
Residential,Humid,Medium,2137.42,1.0,8.68,21.0,11.0,37.0,38.14,66.0,Average,Medium,Split AC
Hospital,Cold,Low,214376.86,11.0,17.07,16853.0,23.0,2.0,17.61,56.29,,Medium,Central Chiller
Retail,Hot,Medium,71264.87,1.0,16.49,6946.0,11.0,8.0,32.73,50.7,Good,High,VRF
Residential,Warm,High,1852.35,1.0,9.81,37.0,12.0,9.0,34.72,55.27,Excellent,Low,Split AC
Residential,Humid,Medium,528.53,1.0,9.49,5.0,10.0,28.0,26.98,86.64,Poor,Medium,Multi-Split
Residential,Hot,Low,2409.1,1.0,8.08,21.0,8.0,28.0,40.94,41.89,Average,Low,Split AC
Office,Humid,Medium,43069.05,1.0,13.12,2655.0,10.0,31.0,34.81,79.26,Good,High,Central Chiller
Retail,Humid,Low,38488.85,1.0,13.94,4152.0,14.0,9.0,30.25,89.55,Average,High,Central Chiller
Industrial,Hot,Low,95261.07,5.0,25.94,4038.0,20.0,4.0,34.56,35.49,Poor,Low,Central Chiller
Office,Hot,Medium,31297.56,1.0,13.53,1001.0,10.0,26.0,36.58,33.95,Poor,High,VRF
Office,Hot,High,39370.18,1.0,12.84,3093.0,11.0,41.0,41.3,41.01,Poor,High,Central Chiller
Residential,Hot,High,3221.05,1.0,8.6,51.0,9.0,17.0,33.77,28.52,Excellent,,Multi-Split
Office,Cold,Medium,19910.54,2.0,12.11,1148.0,11.0,22.0,20.77,44.79,Good,High,Multi-Split
Retail,Hot,Low,53359.16,4.0,14.15,4818.0,14.0,24.0,31.39,9.17,Poor,,VRF
Hospital,Hot,High,108529.69,7.0,14.91,7675.0,21.0,15.0,37.24,39.21,Average,,Central Chiller
Retail,Hot,Medium,46403.33,3.0,15.51,5299.0,14.0,2.0,38.1,36.24,Average,High,Packaged Unit
Office,Humid,Low,18889.43,1.0,12.22,618.0,8.0,49.0,24.87,83.05,Poor,High,Multi-Split
Residential,Warm,Medium,2202.41,2.0,9.29,28.0,13.0,1.0,30.98,59.1,Poor,Low,Packaged Unit
Residential,Hot,Medium,967.91,1.0,8.24,20.0,8.0,32.0,35.64,,Good,Low,Split AC
Residential,Hot,Medium,2735.35,1.0,8.51,46.0,11.0,9.0,37.06,34.52,Good,Low,Multi-Split
Office,Humid,Low,20514.8,1.0,11.64,1602.0,11.0,6.0,33.54,101.7,Average,High,VRF
Office,Hot,Low,34699.43,1.0,13.77,1755.0,11.0,46.0,40.33,34.52,Poor,Medium,VRF
Residential,Hot,Medium,4356.36,2.0,9.82,118.0,7.0,31.0,37.98,36.14,Average,Low,Multi-Split
Residential,Hot,Medium,1153.27,1.0,10.73,14.0,10.0,13.0,37.25,41.72,Average,Medium,Multi-Split
Residential,Hot,High,1181.7,1.0,9.84,12.0,7.0,13.0,41.19,34.81,Good,Low,Central Chiller
Residential,Warm,Low,1153.16,1.0,10.63,31.0,6.0,34.0,37.46,47.11,Poor,Low,Split AC
Residential,Humid,Medium,2015.12,2.0,9.29,41.0,11.0,,32.11,100.68,Average,Low,Multi-Split
,Hot,Low,16023.04,2.0,10.33,423.0,9.0,3.0,36.0,54.47,Poor,Medium,VRF
Retail,Humid,Low,52023.27,1.0,15.37,9056.0,12.0,11.0,32.64,72.27,Poor,High,Packaged Unit
Residential,Warm,Low,2557.08,1.0,8.39,31.0,12.0,22.0,29.03,59.1,Poor,Low,Central Chiller
Office,Warm,High,34644.14,2.0,11.42,2387.0,8.0,19.0,36.98,41.94,Average,High,Central Chiller
Industrial,Cold,Medium,107286.06,6.0,21.09,4132.0,14.0,50.0,9.11,25.89,Average,Low,Packaged Unit
Retail,Warm,Medium,9299.38,1.0,17.99,557.0,12.0,13.0,30.37,48.94,Average,High,Central Chiller
Office,Warm,Medium,43142.08,1.0,13.28,2031.0,11.0,8.0,29.58,51.93,Good,High,Packaged Unit
Residential,Warm,Medium,1779.26,2.0,8.29,23.0,10.0,32.0,26.18,71.93,Average,Low,Packaged Unit
Hospital,Humid,Medium,80948.6,3.0,13.81,5361.0,22.0,46.0,32.59,88.26,Average,Low,Central Chiller
Hospital,Warm,Low,55879.22,4.0,10.9,2315.0,23.0,8.0,22.21,43.64,Average,Low,Central Chiller
Hospital,Cold,Low,188918.2,11.0,16.37,15137.0,21.0,42.0,15.11,41.77,Poor,Medium,Central Chiller
Industrial,Humid,Medium,77554.14,4.0,24.92,3072.0,22.0,2.0,34.26,79.57,Good,Medium,VRF
Residential,Warm,High,2634.5,1.0,8.19,,9.0,23.0,28.52,43.48,Average,Low,Multi-Split
Residential,Cold,Medium,2618.91,1.0,9.58,52.0,12.0,23.0,15.22,12.65,Average,Low,Multi-Split
Retail,Cold,Low,54049.64,3.0,16.57,3936.0,10.0,8.0,13.45,32.22,Average,Medium,Packaged Unit
Residential,Humid,High,3023.93,1.0,8.56,63.0,6.0,26.0,39.08,79.66,Good,Low,Multi-Split
Residential,Humid,Medium,1139.71,1.0,10.47,31.0,8.0,,33.53,79.66,Average,Medium,Split AC
Industrial,Hot,Medium,83943.37,3.0,25.67,,14.0,29.0,40.78,45.76,Average,Low,Packaged Unit
Residential,Hot,High,2116.73,1.0,10.46,27.0,8.0,20.0,39.84,26.32,Good,Low,VRF
Retail,Cold,High,3476.05,1.0,17.71,500.0,14.0,13.0,13.18,41.98,Good,High,Central Chiller
Residential,Warm,Medium,1691.2,1.0,9.63,32.0,10.0,17.0,35.72,56.93,Good,,Split AC
Office,Humid,Low,14799.63,1.0,11.25,1118.0,11.0,40.0,32.69,82.81,Poor,High,Multi-Split
Retail,Hot,Low,36767.91,5.0,13.47,2427.0,12.0,0.0,39.96,21.02,Poor,Medium,VRF
Office,,High,12381.0,1.0,13.41,501.0,11.0,26.0,43.26,21.09,Good,High,VRF
Residential,Warm,Medium,1803.66,1.0,8.2,24.0,10.0,20.0,,51.72,Good,Medium,Central Chiller
Residential,Humid,Medium,1257.01,1.0,8.15,57.0,7.0,13.0,32.41,78.97,Good,Low,Split AC
Office,Warm,High,14708.5,1.0,12.96,765.0,11.0,40.0,32.75,49.13,Good,High,Multi-Split
Residential,Hot,Medium,1814.98,1.0,9.55,49.0,13.0,21.0,43.57,41.5,Average,Low,Split AC
Office,Warm,Medium,16476.29,1.0,13.1,478.0,10.0,20.0,30.72,44.05,Average,Medium,Multi-Split
Residential,Cold,High,1469.74,1.0,10.9,20.0,12.0,12.0,13.0,34.18,Good,Low,Multi-Split
Office,Hot,Medium,36693.43,1.0,11.65,3316.0,8.0,36.0,41.3,40.45,Good,High,Packaged Unit
Industrial,Hot,Medium,113016.94,7.0,32.48,2446.0,22.0,13.0,35.96,46.36,Good,Low,Packaged Unit
Retail,Humid,Medium,65904.94,4.0,13.8,8722.0,10.0,23.0,33.64,88.32,Good,Medium,VRF
Hospital,Hot,Medium,115276.54,7.0,11.98,6459.0,23.0,8.0,31.58,38.64,Average,Low,Central Chiller
Residential,Warm,Low,1508.01,1.0,,19.0,9.0,4.0,32.27,66.46,Poor,Low,Central Chiller
Residential,Humid,Low,1945.6,1.0,9.29,20.0,11.0,6.0,33.33,83.02,Average,Low,Split AC
Residential,Warm,Medium,1035.77,1.0,9.05,21.0,12.0,27.0,28.65,51.86,Average,Low,Split AC
Residential,Warm,High,2625.42,1.0,10.28,51.0,10.0,17.0,31.08,50.03,Good,Low,Multi-Split
Office,Hot,High,28929.21,2.0,10.95,1257.0,9.0,15.0,42.07,36.34,Average,High,VRF
Office,Cold,Low,29709.76,2.0,11.4,1054.0,11.0,28.0,15.51,25.41,Poor,Medium,VRF
Retail,Warm,Low,53908.29,1.0,13.77,4400.0,11.0,14.0,27.37,39.58,Poor,High,Packaged Unit
Hospital,Warm,Medium,111463.22,3.0,14.2,5755.0,22.0,0.0,24.91,39.06,Good,Low,Central Chiller
Residential,Cold,High,1393.66,1.0,10.02,19.0,11.0,0.0,,37.13,Good,Low,Split AC
Retail,Warm,Low,30905.69,1.0,14.42,3957.0,15.0,1.0,36.5,45.96,Poor,High,Packaged Unit
Office,Hot,High,23663.38,2.0,13.6,1160.0,10.0,1.0,44.08,43.4,Good,Medium,VRF
Residential,Humid,Low,2297.23,1.0,10.04,,8.0,15.0,36.13,109.19,Average,Medium,VRF
Industrial,Warm,Medium,44885.63,1.0,29.4,1596.0,19.0,14.0,23.11,35.31,Average,Medium,Packaged Unit
Residential,Warm,Low,2295.87,1.0,10.29,81.0,6.0,6.0,34.7,52.44,Average,Low,Split AC
Retail,Cold,Low,27712.67,,12.76,3605.0,13.0,19.0,20.84,44.16,Poor,High,Packaged Unit
Retail,Hot,Low,72309.55,5.0,13.67,7250.0,14.0,26.0,37.29,53.69,Poor,Medium,Central Chiller
Retail,Hot,High,35566.02,1.0,12.4,3051.0,14.0,28.0,34.0,30.05,Good,High,Packaged Unit
Residential,Humid,Medium,1533.08,1.0,9.68,27.0,12.0,30.0,40.46,83.62,Average,Low,Split AC
,,High,43278.32,4.0,16.69,3632.0,15.0,16.0,29.2,43.28,Good,High,VRF
Residential,Warm,Low,1931.07,1.0,10.97,35.0,6.0,17.0,31.88,43.39,Average,Low,Split AC
Office,Hot,Low,11113.75,1.0,13.09,,8.0,13.0,29.01,32.58,Average,Medium,VRF
Retail,Humid,Low,81837.55,7.0,14.22,9763.0,12.0,11.0,36.06,84.53,Poor,Medium,VRF
Office,Cold,High,36753.17,1.0,11.11,1257.0,11.0,6.0,,47.8,Excellent,High,Split AC
Industrial,Warm,Medium,111062.74,4.0,24.51,2961.0,15.0,32.0,31.65,62.8,Good,Low,Packaged Unit
Industrial,Hot,Low,97573.46,4.0,21.28,4146.0,18.0,,38.57,66.39,Poor,Low,Central Chiller
Retail,Hot,High,65378.45,4.0,17.98,4767.0,14.0,19.0,39.12,48.07,Good,Medium,VRF
Residential,Hot,Medium,1973.7,1.0,9.17,32.0,13.0,6.0,34.47,45.25,Good,Low,Split AC
Hospital,Warm,Low,166700.7,11.0,14.21,18880.0,22.0,13.0,33.5,53.11,Average,Low,Central Chiller
Hospital,Humid,Low,154248.3,6.0,15.25,13031.0,21.0,0.0,32.36,76.29,Poor,Low,Central Chiller
Residential,Hot,Medium,2230.0,1.0,9.72,42.0,10.0,5.0,34.94,36.67,Good,Low,Central Chiller
Residential,Warm,Medium,2074.74,1.0,9.77,53.0,6.0,13.0,27.57,54.89,Good,Low,Multi-Split
Industrial,,Medium,133705.33,7.0,19.93,4427.0,21.0,41.0,35.08,74.11,Average,Low,Multi-Split
Office,Warm,Low,7538.91,1.0,13.08,486.0,9.0,34.0,30.48,68.2,Poor,High,Central Chiller
Industrial,Hot,Medium,87331.74,2.0,26.41,1600.0,12.0,52.0,35.28,41.04,Average,Low,Packaged Unit
Hospital,Hot,High,141872.78,9.0,13.44,8827.0,20.0,72.0,42.5,37.55,Average,Low,Central Chiller
Industrial,Humid,Medium,121605.51,9.0,27.62,4698.0,15.0,18.0,35.65,,Average,Low,Central Chiller
Office,Hot,Low,35562.9,1.0,12.92,1603.0,10.0,25.0,41.3,47.3,Average,Medium,VRF
Residential,Hot,High,1709.5,2.0,9.81,26.0,11.0,20.0,34.41,39.41,Average,Medium,Split AC
Residential,Humid,Medium,1496.49,1.0,8.21,12.0,6.0,18.0,31.96,86.45,Poor,Low,Packaged Unit
Hospital,Hot,High,101969.48,7.0,14.38,14687.0,21.0,38.0,29.03,42.01,Excellent,Low,Central Chiller
Retail,Hot,Medium,45207.04,1.0,17.34,5116.0,10.0,16.0,37.15,51.42,Average,Medium,Packaged Unit
Residential,Hot,Low,2182.2,1.0,9.21,31.0,8.0,23.0,38.24,35.9,Poor,Low,Multi-Split
Industrial,Warm,Medium,96858.59,6.0,29.24,2177.0,19.0,23.0,29.07,52.02,,Low,VRF
Residential,Cold,Medium,1682.78,1.0,8.88,13.0,12.0,2.0,17.43,52.14,Poor,Medium,Split AC
Hospital,Warm,High,130737.76,7.0,14.6,12356.0,20.0,6.0,22.14,40.65,Good,,Central Chiller
Residential,Hot,Medium,2330.71,1.0,9.38,28.0,9.0,16.0,40.05,31.93,Poor,Low,Central Chiller
Hospital,Humid,Medium,75223.53,5.0,14.53,3970.0,21.0,22.0,31.0,82.48,Good,Low,VRF
Office,Hot,Medium,16064.84,1.0,10.72,463.0,11.0,18.0,39.5,49.4,Average,High,Multi-Split
Hospital,Hot,High,138649.65,5.0,16.08,11914.0,23.0,38.0,37.29,45.82,Good,Low,Central Chiller
Residential,Hot,Medium,1939.83,3.0,10.96,31.0,8.0,0.0,36.04,54.0,Good,Low,Split AC
Retail,Hot,High,23283.07,1.0,15.37,3114.0,11.0,10.0,46.65,35.93,Good,Medium,Packaged Unit
Office,Hot,High,26779.05,3.0,11.48,1237.0,8.0,22.0,31.02,41.82,Average,High,VRF
Residential,Hot,Low,2313.15,1.0,10.37,39.0,13.0,15.0,38.75,28.93,Poor,Medium,Split AC
Hospital,Cold,Medium,87565.94,6.0,13.47,4927.0,23.0,20.0,,41.68,Average,Medium,Central Chiller
Residential,Humid,Low,1743.9,2.0,8.62,19.0,11.0,30.0,36.57,96.95,Poor,Low,Split AC
Residential,Cold,Low,933.25,1.0,9.46,21.0,7.0,33.0,15.18,35.13,Poor,Medium,Split AC
Office,Hot,Medium,22411.15,1.0,10.69,793.0,9.0,0.0,39.63,28.22,Good,High,VRF
Hospital,Humid,Low,37969.51,2.0,12.75,1962.0,20.0,2.0,35.11,,Average,Low,Central Chiller
Hospital,Hot,Medium,142137.25,8.0,14.33,6259.0,21.0,46.0,34.55,42.91,Poor,Low,Central Chiller
Retail,Warm,Medium,47016.05,4.0,12.13,4857.0,14.0,9.0,24.59,49.61,Good,High,Packaged Unit
,Warm,Medium,11220.51,1.0,10.01,587.0,8.0,25.0,33.55,69.01,Poor,Medium,Multi-Split
Industrial,Cold,High,94414.28,4.0,16.09,1489.0,13.0,28.0,9.19,44.77,Good,Medium,Packaged Unit
Residential,Hot,Low,1981.03,1.0,8.92,49.0,11.0,1.0,42.41,43.54,Poor,Low,Split AC
Residential,Warm,Medium,1835.27,1.0,8.45,21.0,9.0,18.0,30.45,68.77,Good,Medium,Multi-Split
Residential,Humid,Medium,2543.57,1.0,8.89,50.0,10.0,14.0,32.12,87.27,Good,Low,Multi-Split
Residential,Humid,Medium,2280.66,1.0,8.28,53.0,12.0,25.0,38.43,92.93,Average,Low,Multi-Split
Residential,Warm,Medium,500.0,1.0,10.59,6.0,9.0,17.0,32.57,35.87,Average,Low,Split AC
Retail,Hot,Medium,24103.88,1.0,14.08,1481.0,13.0,24.0,35.41,61.26,Good,High,VRF
Hospital,Warm,Medium,68540.15,4.0,14.57,5863.0,23.0,46.0,27.75,41.38,Average,Low,Packaged Unit
Hospital,Cold,Low,110144.98,3.0,11.57,19346.0,21.0,39.0,8.55,44.77,Average,Low,Central Chiller
Office,Humid,Medium,24702.67,2.0,13.83,1625.0,8.0,0.0,34.13,70.84,Average,High,VRF
Residential,Hot,Low,2604.92,1.0,8.1,36.0,8.0,22.0,34.51,44.58,Average,Low,Multi-Split
Office,Warm,High,9458.86,1.0,10.69,695.0,9.0,33.0,29.18,47.82,Good,Medium,Multi-Split
Residential,Hot,Low,1953.03,1.0,9.94,29.0,11.0,38.0,39.56,47.71,Average,Medium,Multi-Split
Retail,Warm,High,14187.06,1.0,12.62,1222.0,12.0,7.0,24.18,47.63,Average,High,VRF
Residential,Hot,High,1713.0,1.0,10.9,18.0,8.0,21.0,36.82,34.64,Average,Low,Split AC
Residential,Hot,Low,1542.73,1.0,9.18,22.0,13.0,22.0,,38.87,Average,Low,Split AC
Residential,Humid,High,1065.55,1.0,9.78,,13.0,25.0,31.66,97.27,Good,Medium,Split AC
Residential,Humid,Low,1701.86,1.0,8.08,26.0,6.0,25.0,,92.28,Poor,Medium,Packaged Unit
Office,Humid,Low,23096.04,4.0,13.51,2218.0,8.0,35.0,33.52,96.42,Average,High,VRF
Residential,Humid,Medium,3652.18,1.0,10.55,95.0,9.0,15.0,28.98,82.51,Average,Low,Multi-Split
Office,Humid,Low,34968.32,1.0,12.88,3349.0,10.0,37.0,37.02,73.57,Average,High,Multi-Split
Residential,Hot,High,1197.96,,10.46,9.0,6.0,32.0,39.97,43.9,Excellent,,Split AC
Retail,Humid,Medium,42251.99,1.0,12.17,4284.0,,13.0,29.29,110.48,Average,Medium,VRF
Residential,Hot,Medium,1925.76,1.0,,50.0,7.0,31.0,39.89,39.36,Average,Low,Split AC
Residential,Warm,Medium,1326.73,1.0,10.73,15.0,9.0,26.0,25.63,50.64,Average,Low,Packaged Unit
,Humid,Medium,1197.71,1.0,9.42,,7.0,23.0,32.92,81.91,Average,Medium,Split AC
Retail,Hot,Low,79149.71,4.0,15.82,8446.0,14.0,24.0,37.49,44.78,Poor,High,Split AC
Office,Humid,Low,61677.63,3.0,12.75,4144.0,10.0,0.0,37.54,73.49,Average,High,Packaged Unit
Residential,Humid,Low,2364.03,1.0,9.34,45.0,6.0,31.0,30.86,90.22,Poor,Low,Split AC
Residential,Warm,Low,2748.54,1.0,9.92,63.0,13.0,20.0,29.33,46.99,Poor,Medium,Multi-Split
Retail,Hot,Medium,43215.41,1.0,12.42,11130.0,11.0,16.0,,28.42,,High,Packaged Unit
Residential,Warm,Medium,2107.01,1.0,,26.0,8.0,8.0,28.26,61.09,Good,Medium,Split AC
Residential,Hot,Medium,2469.55,2.0,10.0,50.0,6.0,0.0,38.71,33.67,Average,Low,Split AC
Office,Humid,Medium,26764.07,2.0,11.7,2215.0,9.0,7.0,26.49,92.44,Poor,High,VRF
Office,Humid,Medium,27909.61,1.0,11.26,2658.0,8.0,3.0,36.59,71.53,Average,Medium,Packaged Unit
Office,Humid,Medium,15068.37,1.0,10.94,1009.0,10.0,0.0,35.15,92.37,Good,Medium,VRF
Residential,Humid,Medium,1637.44,1.0,9.09,34.0,13.0,14.0,34.12,89.06,Average,Low,Split AC
Residential,Cold,Low,1967.34,1.0,10.29,29.0,9.0,20.0,15.49,43.92,Poor,Low,Split AC
Residential,Hot,Low,1492.16,1.0,10.09,38.0,6.0,20.0,30.93,21.19,Average,Low,Split AC
Residential,Hot,High,849.55,1.0,10.36,9.0,10.0,34.0,43.39,43.0,Excellent,Low,Split AC
Retail,Warm,Low,500.0,1.0,17.42,25.0,15.0,25.0,25.75,43.66,Poor,High,Split AC
Residential,Warm,Medium,1322.85,1.0,9.6,22.0,6.0,19.0,26.68,50.21,Good,Medium,Split AC
Retail,Warm,Medium,23914.33,1.0,12.46,1638.0,10.0,5.0,25.68,57.07,Good,Medium,Multi-Split
Residential,Humid,Low,2289.5,1.0,9.16,44.0,9.0,15.0,39.74,93.02,Poor,Low,Split AC
Residential,Hot,Medium,1467.43,1.0,10.73,39.0,9.0,8.0,41.41,29.29,Poor,Low,Split AC
Office,Humid,Medium,13288.62,1.0,13.16,966.0,9.0,28.0,32.96,77.7,Average,Medium,Multi-Split
Hospital,Cold,High,177685.04,7.0,14.57,10925.0,20.0,43.0,8.65,52.4,Good,Low,Central Chiller
Residential,Hot,Low,609.42,1.0,10.47,5.0,11.0,10.0,52.3,27.58,Poor,Low,Split AC
Residential,Cold,Low,1672.3,1.0,10.7,23.0,10.0,24.0,12.34,56.26,Poor,Low,Split AC
Office,Warm,Low,27923.07,2.0,11.64,2091.0,8.0,0.0,36.53,67.52,Poor,Medium,VRF
Office,Hot,Medium,35557.2,1.0,12.61,1740.0,8.0,50.0,35.89,28.36,Poor,High,Multi-Split
Residential,Warm,Medium,1758.21,1.0,9.67,24.0,8.0,16.0,28.97,43.13,Good,Low,Split AC
Office,Warm,Low,23558.07,2.0,10.42,1954.0,11.0,25.0,29.67,40.23,Poor,Medium,VRF
Residential,Cold,Medium,945.76,1.0,9.53,18.0,6.0,7.0,7.23,47.43,Good,Low,Split AC
Office,Warm,High,20212.7,1.0,10.96,1977.0,8.0,36.0,26.18,33.46,Average,High,VRF
Residential,Warm,High,1381.05,1.0,,15.0,10.0,0.0,35.75,52.7,Excellent,Low,Split AC
Residential,Hot,Medium,987.85,2.0,8.33,24.0,10.0,25.0,36.79,28.09,Poor,Medium,Packaged Unit
Office,Humid,Medium,11176.1,1.0,10.43,407.0,10.0,29.0,37.44,77.96,Good,High,Packaged Unit
Industrial,Humid,Medium,32416.29,2.0,29.37,997.0,22.0,16.0,32.32,77.0,Poor,Medium,Packaged Unit
Residential,Cold,Medium,1635.27,1.0,9.02,31.0,8.0,8.0,11.18,43.84,Good,Medium,Split AC
Office,Warm,Low,25243.47,3.0,11.46,826.0,10.0,13.0,27.84,38.94,Poor,High,VRF
Office,Warm,Low,38203.96,1.0,11.31,2463.0,8.0,11.0,30.48,48.46,Average,Medium,Packaged Unit
Retail,Hot,Medium,500.0,3.0,12.97,47.0,13.0,29.0,35.44,44.42,Poor,High,Packaged Unit
Retail,Cold,Low,39179.38,2.0,16.89,3770.0,11.0,0.0,22.03,36.17,Average,Medium,Packaged Unit
Office,Hot,Medium,9065.45,1.0,10.51,473.0,8.0,13.0,41.27,38.13,Poor,High,Central Chiller
Residential,Hot,High,1322.23,1.0,10.64,54.0,13.0,19.0,33.38,46.62,Good,Medium,Split AC
Retail,Warm,Low,70488.0,6.0,12.61,6987.0,14.0,23.0,34.25,36.55,Poor,High,Packaged Unit
Hospital,Hot,Low,160724.86,9.0,13.9,4904.0,23.0,32.0,34.99,34.61,Average,Low,Central Chiller
Residential,Humid,Medium,1350.63,1.0,10.74,27.0,7.0,13.0,31.81,82.58,Average,Low,VRF
Residential,Warm,High,1427.62,1.0,8.43,49.0,9.0,27.0,23.95,50.18,Excellent,Low,Split AC
Industrial,Hot,Medium,71801.4,4.0,23.3,3903.0,21.0,38.0,32.82,54.14,Good,Low,Packaged Unit
Retail,Warm,Medium,39388.29,2.0,16.2,3467.0,12.0,12.0,33.14,34.53,Average,Medium,Packaged Unit
Residential,Warm,Medium,2462.5,1.0,8.38,45.0,,21.0,29.12,42.01,Good,Medium,Split AC
Residential,Warm,Medium,973.57,1.0,9.99,23.0,9.0,32.0,,62.36,Good,Low,Split AC
Office,Humid,Low,15912.53,1.0,10.92,1149.0,,16.0,35.62,72.4,Poor,Medium,VRF
Industrial,Hot,Low,150177.16,6.0,28.03,4318.0,17.0,28.0,33.56,25.06,Poor,Low,VRF
Office,Cold,Medium,23662.05,1.0,12.24,1085.0,9.0,26.0,16.93,23.56,Average,High,Packaged Unit
Retail,Hot,Medium,31727.3,2.0,15.44,3474.0,15.0,44.0,34.91,53.73,Average,Medium,Multi-Split
Industrial,Warm,Low,100647.73,4.0,14.75,4724.0,19.0,,35.63,41.23,Poor,Low,Central Chiller
Office,Humid,High,11651.39,1.0,10.02,1065.0,10.0,22.0,35.08,94.29,Good,High,VRF
Residential,Hot,High,2444.96,1.0,10.6,53.0,10.0,8.0,41.13,36.58,Good,Medium,Split AC
Residential,Cold,High,2417.44,1.0,10.33,26.0,6.0,11.0,18.89,45.91,Excellent,Medium,Split AC
Industrial,Humid,Medium,39656.78,1.0,29.35,1559.0,23.0,21.0,31.16,73.36,Poor,Medium,Packaged Unit
Residential,Warm,Medium,1546.4,1.0,10.56,32.0,9.0,14.0,29.13,50.35,Good,Medium,Split AC
Industrial,Warm,Low,115555.86,4.0,35.28,6355.0,21.0,32.0,30.58,37.7,Average,Low,Central Chiller
Office,Hot,High,29601.55,2.0,11.01,1922.0,,30.0,38.7,34.61,Average,Medium,Multi-Split
Industrial,Warm,Medium,40556.48,5.0,17.4,1116.0,22.0,18.0,29.63,47.84,Average,Low,Packaged Unit
